,Ссылка,Цена,Flat Score,Underground Score,Underground Place,Близость к метро,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Количество этажей,Депозит,Месяцы предоплаты,Ремонт,Апартаменты,Лоджии,Балконы,Окна,Разделенные с/у,Совмещенные с/у,Посудомойка,Кондиционер,Можно с детьми,Можно с животными,Обновлено,Высота потолков,Количество подъездов,Количество лифтов в доме,Количество квартир в доме
0,https://www.cian.ru/rent/flat/311385174/,100000,728560,52.44,93,Нижегородская: 12 мин. пешком; ,3,57.0,30.0,12.0,25,31,100000,1,Дизайнерский,Нет,0,0,Во двор,0,1,Да,Да,Да,Нет,"сегодня, 17:11",UNDEF,UNDEF,UNDEF,UNDEF
1,https://www.cian.ru/rent/flat/311385167/,100000,754620,40.83,19,Красные ворота: 2 мин. пешком; Комсомольская: 10 мин. пешком; Тургеневская: 11 мин. пешком; ,2,55.0,30.0,8.0,10,10,0,UNDEF,Евро,Нет,0,1,На улицу,0,1,Да,Да,UNDEF,UNDEF,"сегодня, 17:11",3.0,10,10,269
2,https://www.cian.ru/rent/flat/311384887/,99000,757619,50.79,156,Чертановская: 11 мин. пешком; Севастопольская: 19 мин. пешком; Каховская: 22 мин. пешком; ,3,95.0,50.0,12.0,15,16,99000,1,Дизайнерский,Нет,2,0,На улицу и двор,1,2,Да,Нет,UNDEF,UNDEF,"сегодня, 17:05",2.7,3,10,123
3,https://www.cian.ru/rent/flat/311384735/,105000,727501,53.27,130,Нагатинский Затон: 13 мин. пешком; Кленовый бульвар: 14 мин. пешком; ,2,55.0,37.0,11.0,13,19,100000,1,Евро,Нет,1,0,Во двор,1,0,Да,Да,Да,Нет,"сегодня, 16:58",UNDEF,3,9,218
4,https://www.cian.ru/rent/flat/311384029/,95000,760330,46.79,29,Белорусская: 14 мин. пешком; Динамо: 14 мин. пешком; ,3,72.5,44.9,6.5,5,7,95000,1,Косметический,Нет,0,1,На улицу,1,0,Да,Нет,Да,Да,"сегодня, 16:44",3.1,5,3,30
5,https://www.cian.ru/rent/flat/311383128/,100000,769391,32.9,47,Площадь Ильича: 2 мин. пешком; Римская: 2 мин. пешком; Серп и Молот: 5 мин. пешком; ,2,62.0,UNDEF,UNDEF,4,7,100000,1,Евро,Нет,0,0,UNDEF,0,0,Да,Да,Да,Да,"сегодня, 16:24",UNDEF,4,4,98
6,https://www.cian.ru/rent/flat/311382327/,110000,705867,58.67,149,Щукинская: 5 мин. на транспорте; ,2,57.0,26.0,12.0,24,25,UNDEF,1,Евро,Нет,0,1,На улицу и двор,1,0,Да,Нет,Да,Нет,"сегодня, 16:12",UNDEF,UNDEF,UNDEF,UNDEF
7,https://www.cian.ru/rent/flat/311381972/,110000,747493,45.88,174,Коньково: 5 мин. пешком; Тёплый Стан: 15 мин. пешком; Беляево: 18 мин. пешком; ,3,74.0,44.0,10.1,3,17,110000,1,Косметический,Нет,1,0,На улицу и двор,1,0,Да,Да,Да,Нет,"сегодня, 16:23",UNDEF,3,6,198
8,https://www.cian.ru/rent/flat/311379925/,120000,733469,60.07,262,Волоколамская: 8 мин. пешком; Митино: 14 мин. пешком; Трикотажная: 21 мин. пешком; ,3,122.0,UNDEF,UNDEF,16,22,120000,1,Евро,Нет,1,1,UNDEF,1,1,Да,Да,Да,Да,"сегодня, 15:46",UNDEF,3,15,357
9,https://www.cian.ru/rent/flat/311379870/,93000,748307,52.65,120,Университет: 13 мин. пешком; Новаторская: 20 мин. пешком; ,2,72.0,42.0,14.0,9,9,80000,1,Евро,Нет,0,1,Во двор,0,0,Да,Да,Да,Да,"сегодня, 16:03",UNDEF,6,6,198
